EPOCH:   1, Train Acc: 0.238, Valid Acc: 0.334, Time:  0.142
EPOCH:   2, Train Acc: 0.343, Valid Acc: 0.363, Time:  0.281
EPOCH:   3, Train Acc: 0.384, Valid Acc: 0.396, Time:  0.424
EPOCH:   4, Train Acc: 0.412, Valid Acc: 0.419, Time:  0.565
EPOCH:   5, Train Acc: 0.433, Valid Acc: 0.443, Time:  0.709
EPOCH:   6, Train Acc: 0.454, Valid Acc: 0.459, Time:  0.850
EPOCH:   7, Train Acc: 0.468, Valid Acc: 0.470, Time:  0.993
EPOCH:   8, Train Acc: 0.477, Valid Acc: 0.476, Time:  1.136
EPOCH:   9, Train Acc: 0.484, Valid Acc: 0.482, Time:  1.280
EPOCH:  10, Train Acc: 0.490, Valid Acc: 0.490, Time:  1.422
EPOCH:  11, Train Acc: 0.498, Valid Acc: 0.497, Time:  1.567
EPOCH:  12, Train Acc: 0.507, Valid Acc: 0.505, Time:  1.709
EPOCH:  13, Train Acc: 0.516, Valid Acc: 0.516, Time:  1.852
EPOCH:  14, Train Acc: 0.527, Valid Acc: 0.524, Time:  1.994
EPOCH:  15, Train Acc: 0.536, Valid Acc: 0.533, Time:  2.138
EPOCH:  16, Train Acc: 0.544, Valid Acc: 0.541, Time:  2.281
EPOCH:  17, Train Acc: 0.552, Valid Acc: 0.549, Time:  2.424
EPOCH:  18, Train Acc: 0.559, Valid Acc: 0.557, Time:  2.566
EPOCH:  19, Train Acc: 0.567, Valid Acc: 0.563, Time:  2.710
EPOCH:  20, Train Acc: 0.574, Valid Acc: 0.569, Time:  2.852
EPOCH:  21, Train Acc: 0.580, Valid Acc: 0.575, Time:  2.996
EPOCH:  22, Train Acc: 0.586, Valid Acc: 0.583, Time:  3.138
EPOCH:  23, Train Acc: 0.591, Valid Acc: 0.587, Time:  3.283
EPOCH:  24, Train Acc: 0.596, Valid Acc: 0.590, Time:  3.426
EPOCH:  25, Train Acc: 0.599, Valid Acc: 0.594, Time:  3.571
EPOCH:  26, Train Acc: 0.603, Valid Acc: 0.598, Time:  3.713
EPOCH:  27, Train Acc: 0.606, Valid Acc: 0.601, Time:  3.857
EPOCH:  28, Train Acc: 0.610, Valid Acc: 0.604, Time:  4.000
EPOCH:  29, Train Acc: 0.613, Valid Acc: 0.608, Time:  4.144
EPOCH:  30, Train Acc: 0.616, Valid Acc: 0.612, Time:  4.287
EPOCH:  31, Train Acc: 0.619, Valid Acc: 0.616, Time:  4.431
EPOCH:  32, Train Acc: 0.623, Valid Acc: 0.618, Time:  4.573
EPOCH:  33, Train Acc: 0.626, Valid Acc: 0.621, Time:  4.717
EPOCH:  34, Train Acc: 0.630, Valid Acc: 0.624, Time:  4.860
EPOCH:  35, Train Acc: 0.632, Valid Acc: 0.626, Time:  5.005
EPOCH:  36, Train Acc: 0.635, Valid Acc: 0.629, Time:  5.148
EPOCH:  37, Train Acc: 0.638, Valid Acc: 0.633, Time:  5.292
EPOCH:  38, Train Acc: 0.640, Valid Acc: 0.637, Time:  5.434
EPOCH:  39, Train Acc: 0.643, Valid Acc: 0.639, Time:  5.578
EPOCH:  40, Train Acc: 0.646, Valid Acc: 0.640, Time:  5.721
EPOCH:  41, Train Acc: 0.647, Valid Acc: 0.643, Time:  5.865
EPOCH:  42, Train Acc: 0.649, Valid Acc: 0.645, Time:  6.007
EPOCH:  43, Train Acc: 0.651, Valid Acc: 0.648, Time:  6.151
EPOCH:  44, Train Acc: 0.653, Valid Acc: 0.651, Time:  6.294
EPOCH:  45, Train Acc: 0.655, Valid Acc: 0.652, Time:  6.438
EPOCH:  46, Train Acc: 0.658, Valid Acc: 0.653, Time:  6.581
EPOCH:  47, Train Acc: 0.659, Valid Acc: 0.655, Time:  6.725
EPOCH:  48, Train Acc: 0.661, Valid Acc: 0.656, Time:  6.867
EPOCH:  49, Train Acc: 0.663, Valid Acc: 0.659, Time:  7.011
EPOCH:  50, Train Acc: 0.664, Valid Acc: 0.660, Time:  7.153
EPOCH:  51, Train Acc: 0.666, Valid Acc: 0.661, Time:  7.298
EPOCH:  52, Train Acc: 0.667, Valid Acc: 0.663, Time:  7.440
EPOCH:  53, Train Acc: 0.669, Valid Acc: 0.666, Time:  7.585
EPOCH:  54, Train Acc: 0.670, Valid Acc: 0.667, Time:  7.727
EPOCH:  55, Train Acc: 0.672, Valid Acc: 0.668, Time:  7.872
EPOCH:  56, Train Acc: 0.673, Valid Acc: 0.669, Time:  8.014
EPOCH:  57, Train Acc: 0.675, Valid Acc: 0.670, Time:  8.158
EPOCH:  58, Train Acc: 0.677, Valid Acc: 0.671, Time:  8.300
EPOCH:  59, Train Acc: 0.678, Valid Acc: 0.671, Time:  8.444
EPOCH:  60, Train Acc: 0.671, Valid Acc: 0.667, Time:  8.586
EPOCH:  61, Train Acc: 0.678, Valid Acc: 0.668, Time:  8.730
EPOCH:  62, Train Acc: 0.679, Valid Acc: 0.671, Time:  8.872
EPOCH:  63, Train Acc: 0.681, Valid Acc: 0.672, Time:  9.016
EPOCH:  64, Train Acc: 0.683, Valid Acc: 0.673, Time:  9.158
EPOCH:  65, Train Acc: 0.684, Valid Acc: 0.676, Time:  9.302
EPOCH:  66, Train Acc: 0.685, Valid Acc: 0.678, Time:  9.444
EPOCH:  67, Train Acc: 0.685, Valid Acc: 0.677, Time:  9.588
EPOCH:  68, Train Acc: 0.686, Valid Acc: 0.679, Time:  9.730
EPOCH:  69, Train Acc: 0.688, Valid Acc: 0.680, Time:  9.874
