EPOCH:  81, Train Acc: 0.697, Valid Acc: 0.690, Time: 11.566
EPOCH:  82, Train Acc: 0.698, Valid Acc: 0.691, Time: 11.708
EPOCH:  83, Train Acc: 0.699, Valid Acc: 0.691, Time: 11.851
EPOCH:  84, Train Acc: 0.700, Valid Acc: 0.691, Time: 11.993
EPOCH:  85, Train Acc: 0.699, Valid Acc: 0.693, Time: 12.137
EPOCH:  86, Train Acc: 0.699, Valid Acc: 0.685, Time: 12.278
EPOCH:  87, Train Acc: 0.679, Valid Acc: 0.671, Time: 12.421
EPOCH:  88, Train Acc: 0.681, Valid Acc: 0.667, Time: 12.563
EPOCH:  89, Train Acc: 0.681, Valid Acc: 0.678, Time: 12.707
EPOCH:  90, Train Acc: 0.687, Valid Acc: 0.684, Time: 12.850
EPOCH:  91, Train Acc: 0.693, Valid Acc: 0.689, Time: 12.994
EPOCH:  92, Train Acc: 0.696, Valid Acc: 0.690, Time: 13.135
EPOCH:  93, Train Acc: 0.698, Valid Acc: 0.694, Time: 13.279
EPOCH:  94, Train Acc: 0.676, Valid Acc: 0.691, Time: 13.421
EPOCH:  95, Train Acc: 0.700, Valid Acc: 0.694, Time: 13.564
EPOCH:  96, Train Acc: 0.703, Valid Acc: 0.695, Time: 13.706
EPOCH:  97, Train Acc: 0.701, Valid Acc: 0.693, Time: 13.850
EPOCH:  98, Train Acc: 0.702, Valid Acc: 0.686, Time: 13.992
EPOCH:  99, Train Acc: 0.700, Valid Acc: 0.693, Time: 14.136
EPOCH: 100, Train Acc: 0.699, Valid Acc: 0.691, Time: 14.278
EPOCH: 101, Train Acc: 0.700, Valid Acc: 0.695, Time: 14.421
EPOCH: 102, Train Acc: 0.694, Valid Acc: 0.681, Time: 14.563
EPOCH: 103, Train Acc: 0.692, Valid Acc: 0.689, Time: 14.707
EPOCH: 104, Train Acc: 0.697, Valid Acc: 0.692, Time: 14.848
EPOCH: 105, Train Acc: 0.700, Valid Acc: 0.694, Time: 14.991
EPOCH: 106, Train Acc: 0.702, Valid Acc: 0.697, Time: 15.135
EPOCH: 107, Train Acc: 0.704, Valid Acc: 0.699, Time: 15.278
EPOCH: 108, Train Acc: 0.706, Valid Acc: 0.699, Time: 15.421
EPOCH: 109, Train Acc: 0.707, Valid Acc: 0.702, Time: 15.564
EPOCH: 110, Train Acc: 0.708, Valid Acc: 0.702, Time: 15.706
EPOCH: 111, Train Acc: 0.709, Valid Acc: 0.704, Time: 15.849
EPOCH: 112, Train Acc: 0.710, Valid Acc: 0.704, Time: 15.992
EPOCH: 113, Train Acc: 0.705, Valid Acc: 0.698, Time: 16.135
EPOCH: 114, Train Acc: 0.706, Valid Acc: 0.700, Time: 16.277
EPOCH: 115, Train Acc: 0.709, Valid Acc: 0.702, Time: 16.421
EPOCH: 116, Train Acc: 0.710, Valid Acc: 0.704, Time: 16.562
EPOCH: 117, Train Acc: 0.708, Valid Acc: 0.696, Time: 16.705
EPOCH: 118, Train Acc: 0.702, Valid Acc: 0.700, Time: 16.847
EPOCH: 119, Train Acc: 0.706, Valid Acc: 0.701, Time: 16.990
EPOCH: 120, Train Acc: 0.708, Valid Acc: 0.703, Time: 17.132
EPOCH: 121, Train Acc: 0.710, Valid Acc: 0.704, Time: 17.276
EPOCH: 122, Train Acc: 0.711, Valid Acc: 0.704, Time: 17.418
EPOCH: 123, Train Acc: 0.712, Valid Acc: 0.706, Time: 17.561
EPOCH: 124, Train Acc: 0.713, Valid Acc: 0.707, Time: 17.703
EPOCH: 125, Train Acc: 0.714, Valid Acc: 0.709, Time: 17.847
EPOCH: 126, Train Acc: 0.714, Valid Acc: 0.708, Time: 17.989
EPOCH: 127, Train Acc: 0.715, Valid Acc: 0.708, Time: 18.133
EPOCH: 128, Train Acc: 0.702, Valid Acc: 0.695, Time: 18.275
EPOCH: 129, Train Acc: 0.703, Valid Acc: 0.698, Time: 18.419
EPOCH: 130, Train Acc: 0.708, Valid Acc: 0.701, Time: 18.561
EPOCH: 131, Train Acc: 0.706, Valid Acc: 0.700, Time: 18.705
EPOCH: 132, Train Acc: 0.709, Valid Acc: 0.702, Time: 18.847
EPOCH: 133, Train Acc: 0.712, Valid Acc: 0.704, Time: 18.990
EPOCH: 134, Train Acc: 0.713, Valid Acc: 0.705, Time: 19.132
EPOCH: 135, Train Acc: 0.714, Valid Acc: 0.707, Time: 19.276
EPOCH: 136, Train Acc: 0.716, Valid Acc: 0.708, Time: 19.418
EPOCH: 137, Train Acc: 0.713, Valid Acc: 0.694, Time: 19.562
EPOCH: 138, Train Acc: 0.706, Valid Acc: 0.700, Time: 19.704
EPOCH: 139, Train Acc: 0.709, Valid Acc: 0.704, Time: 19.848
