EPOCH:   1, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.083
EPOCH:   2, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.167
EPOCH:   3, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.249
EPOCH:   4, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.334
EPOCH:   5, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.418
EPOCH:   6, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.501
EPOCH:   7, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.586
EPOCH:   8, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.671
EPOCH:   9, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.754
EPOCH:  10, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.837
EPOCH:  11, Train Acc: 0.000, Valid Acc: 0.000, Time:  0.922
EPOCH:  12, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.006
EPOCH:  13, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.089
EPOCH:  14, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.174
EPOCH:  15, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.257
EPOCH:  16, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.340
EPOCH:  17, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.425
EPOCH:  18, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.509
EPOCH:  19, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.592
EPOCH:  20, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.677
EPOCH:  21, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.760
EPOCH:  22, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.841
EPOCH:  23, Train Acc: 0.000, Valid Acc: 0.000, Time:  1.926
EPOCH:  24, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.011
EPOCH:  25, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.092
EPOCH:  26, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.175
EPOCH:  27, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.260
EPOCH:  28, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.343
EPOCH:  29, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.426
EPOCH:  30, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.510
EPOCH:  31, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.593
EPOCH:  32, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.674
EPOCH:  33, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.759
EPOCH:  34, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.843
EPOCH:  35, Train Acc: 0.000, Valid Acc: 0.000, Time:  2.924
EPOCH:  36, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.008
EPOCH:  37, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.092
EPOCH:  38, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.175
EPOCH:  39, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.260
EPOCH:  40, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.343
EPOCH:  41, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.426
EPOCH:  42, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.511
EPOCH:  43, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.594
EPOCH:  44, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.675
EPOCH:  45, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.760
EPOCH:  46, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.843
EPOCH:  47, Train Acc: 0.000, Valid Acc: 0.000, Time:  3.924
EPOCH:  48, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.009
EPOCH:  49, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.092
EPOCH:  50, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.175
EPOCH:  51, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.260
EPOCH:  52, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.344
EPOCH:  53, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.427
EPOCH:  54, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.512
EPOCH:  55, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.598
EPOCH:  56, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.681
EPOCH:  57, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.763
EPOCH:  58, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.848
EPOCH:  59, Train Acc: 0.000, Valid Acc: 0.000, Time:  4.933
EPOCH:  60, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.016
EPOCH:  61, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.100
EPOCH:  62, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.184
EPOCH:  63, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.266
EPOCH:  64, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.352
EPOCH:  65, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.438
EPOCH:  66, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.521
EPOCH:  67, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.603
EPOCH:  68, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.688
EPOCH:  69, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.773
EPOCH:  70, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.855
EPOCH:  71, Train Acc: 0.000, Valid Acc: 0.000, Time:  5.941
EPOCH:  72, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.024
EPOCH:  73, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.106
EPOCH:  74, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.192
EPOCH:  75, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.276
EPOCH:  76, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.359
EPOCH:  77, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.442
EPOCH:  78, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.527
EPOCH:  79, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.612
EPOCH:  80, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.696
EPOCH:  81, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.781
EPOCH:  82, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.867
EPOCH:  83, Train Acc: 0.000, Valid Acc: 0.000, Time:  6.950
EPOCH:  84, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.032
EPOCH:  85, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.118
EPOCH:  86, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.204
EPOCH:  87, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.288
EPOCH:  88, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.371
EPOCH:  89, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.456
EPOCH:  90, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.541
EPOCH:  91, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.624
EPOCH:  92, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.708
EPOCH:  93, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.792
EPOCH:  94, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.874
EPOCH:  95, Train Acc: 0.000, Valid Acc: 0.000, Time:  7.959
EPOCH:  96, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.042
EPOCH:  97, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.125
EPOCH:  98, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.210
EPOCH:  99, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.294
EPOCH: 100, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.377
EPOCH: 101, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.462
EPOCH: 102, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.547
EPOCH: 103, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.630
EPOCH: 104, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.716
EPOCH: 105, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.799
EPOCH: 106, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.882
EPOCH: 107, Train Acc: 0.000, Valid Acc: 0.000, Time:  8.967
EPOCH: 108, Train Acc: 0.000, Valid Acc: 0.000, Time:  9.050
EPOCH: 109, Train Acc: 0.000, Valid Acc: 0.000, Time:  9.133
EPOCH: 110, Train Acc: 0.000, Valid Acc: 0.000, Time:  9.219
EPOCH: 111, Train Acc: 0.000, Valid Acc: 0.000, Time:  9.304
